"","V1","V2"
"210","IPV3_ADCD","TT_ADCD"
"211","IPV3_ADCD","IPV2_ADCD"
"212","IPV3_ADCD","TT_IgG4"
"213","IPV3_ADCD","FHA_FcgR3b"
"214","IPV3_ADCD","ACT_IgG1"
"215","IPV3_ADCD","FIM_IgG1"
"216","IPV3_ADCD","IPV1_ADCD"
"217","IPV3_ADCD","DT_ADCD"
"218","IPV3_ADCD","PT_IgG4"
"219","IPV3_ADCD","PRN_ADCD"
"220","IPV3_ADCD","FHA_ADCD"
"221","IPV3_ADCD","FHA_IgG4"
"222","IPV3_ADCD","ACT_ADCD"
"223","IPV3_ADCD","FHA_IgG3"
"224","IPV3_ADCD","IPV2_FcgR3b"
"225","IPV3_ADCD","IPV3_IgG1"
"226","IPV3_ADCD","PT_ADCD"
"227","IPV1_IgG4","IPV3_FcgR2a"
"228","IPV1_IgG4","IPV2_IgG4"
"229","IPV1_IgG4","PT_FcgR3b"
"230","IPV1_IgG4","TT_IgG4"
"231","IPV1_IgG4","IPV1_FcgR3b"
"232","IPV1_IgG4","TT_FcgR3b"
"233","IPV1_IgG4","FIM_IgG1"
"234","IPV1_IgG4","FIM_FcgR3b"
"235","IPV1_IgG4","IPV2_FcgR2a"
"236","IPV1_IgG4","IPV1_FcgR2a"
"237","IPV1_IgG4","FIM_FcgR2a"
"238","IPV1_IgG4","PT_IgG3"
"239","IPV1_IgG4","FHA_IgG4"
"240","IPV1_IgG4","DT_IgG4"
"241","IPV1_IgG4","IPV3_IgG1"
"242","IPV1_IgG4","PRN_IgG1"
"243","PT_FcgR2a","PRN_ADNP"
"244","PT_FcgR2a","IPV3_FcgR2a"
"245","PT_FcgR2a","DT_FcgR2a"
"246","PT_FcgR2a","PT_FcgR3b"
"247","PT_FcgR2a","FIM_IgG"
"248","PT_FcgR2a","FHA_FcgR2a"
"249","PT_FcgR2a","IPV1_FcgR3b"
"250","PT_FcgR2a","FIM_ADCD"
"251","PT_FcgR2a","TT_FcgR3b"
"252","PT_FcgR2a","PRN_IgG"
"253","PT_FcgR2a","IPV3_FcgR3b"
"254","PT_FcgR2a","PT_IgG2"
"255","PT_FcgR2a","PT_IgG4"
"256","PT_FcgR2a","IPV2_FcgR2a"
"257","PT_FcgR2a","IPV1_FcgR2a"
"258","PT_FcgR2a","TT_IgG1"
"259","PT_FcgR2a","DT_IgG3"
"260","PT_FcgR2a","FHA_ADCD"
"261","PT_FcgR2a","TT_FcgR2a"
"262","PT_FcgR2a","PT_IgG1"
"263","PT_FcgR2a","FIM_FcgR2a"
"264","PT_FcgR2a","PT_IgG3"
"265","PT_FcgR2a","FIM_IgG3"
"266","PT_FcgR2a","TT_ADCP"
"267","PT_FcgR2a","TT_IgG"
"268","PT_FcgR2a","DT_IgG4"
"269","PT_FcgR2a","IPV3_IgG4"
"270","PT_FcgR2a","IPV3_IgG3"
"271","PT_FcgR2a","PT_IgG"
"272","PT_FcgR2a","PT_ADCD"
"273","IPV2_IgG2","FIM_IgG"
"274","IPV2_IgG2","FIM_IgG1"
"275","IPV2_IgG2","IPV2_FcgR2a"
"276","IPV2_IgG2","IPV2_IgG1"
"277","IPV2_IgG2","FHA_IgG2"
"278","IPV2_IgG2","IPV2_FcgR3b"
"279","IPV2_IgG2","IPV2_IgG3"
"280","PRN_ADNP","DT_FcgR3b"
"281","PRN_ADNP","IPV2_ADCD"
"282","PRN_ADNP","FIM_IgG"
"283","PRN_ADNP","TT_IgG4"
"284","PRN_ADNP","TT_IgG2"
"285","PRN_ADNP","DT_ADCP"
"286","PRN_ADNP","FIM_IgG1"
"287","PRN_ADNP","FIM_FcgR3b"
"288","PRN_ADNP","PT_IgG4"
"289","PRN_ADNP","TT_IgG1"
"290","PRN_ADNP","FHA_IgG1"
"291","PRN_ADNP","TT_FcgR2a"
"292","PRN_ADNP","DT_ADNP"
"293","PRN_ADNP","PT_IgG1"
"294","PRN_ADNP","FIM_FcgR2a"
"295","PRN_ADNP","PRN_FcgR3b"
"296","PRN_ADNP","DT_IgG2"
